"Thématiques","Critères","Connexion|https://psl.service-public.fr/mademarche/recensementCitoyen/demarche","Contact|https://www.service-public.fr/P10017","Mentions légales","Accessibilité|https://www.service-public.fr/P10000","Aide|https://www.service-public.fr/D10003","Formulaire (étapes 1 à 5)|https://psl.service-public.fr/mademarche/recensementCitoyen/demarche"
"13","1","nc|!D!Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|!D!Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|!D!Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|!D!Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|!D!Test 13.1.4 échoue (pas de contrôle sur le temps de session)","nc|!D!Test 13.1.4 échoue (pas de contrôle sur le temps de session)|Une mécanique a l'air d'être en place selon les logs présents dans la console, mais cette fonctionnalité est boguée (`psl.session.js?version=1.0.14.3:145 Uncaught TypeError: Cannot read properties of undefined (reading 'user')`)"
"13","2","c","c","c","c","c","c"
"13","3","na","c","c|!D!À noter: certains documents PDF en téléchargement ne sont pas accessibles. Par exemple, la déclaration de la marque ""3939 Allo Service-public"" publiée sous le n° 113816378 [dérogation]","na","na","nc|!D!Le document PDF généré à la toute fin du formulaire (""cerfa-10870_04.pdf"") n'est pas accessible."
"13","4","na","na","na","na","na","na"
"13","5","na","na","na","na","na","na"
"13","6","na","na","na","na","na","na"
"13","7","na","na","na","na","na","na"
"13","8","na","na","na","na","na","na"
"13","9","nc|!M!Les liens ""Une question ?"" et ""Services en ligne et formulaires"" ne sont pas visibles au format mobile","c","c","c","c","nc|!M!Le lien ""Services en ligne et formulaires"" n'est pas visible au format mobile"
"13","10","na","na","na","na","na","na"
"13","11","na","na","na","na","na","na"
"13","12","na","na","na","na","na","na"
